date,present,employee,attendance_rate,holiday_name,holiday_type,is_holiday,day_of_week,is_weekday,is_weekend,month,year,week_of_year,day_of_month,is_month_start,is_month_end,woy_sin,woy_cos,before_holiday,after_holiday,is_sandwich_day,lag_1,lag_7,lag_14,lag_30,rolling_7,rolling_14,rolling_30,rolling_std_7,rolling_std_14
2024-01-31,296,315,0.9396825396825397,,None,0,2,1,0,1,2024,5,31,0,1,0.5680647467311558,0.8229838658936564,0,0,0,0.9588607594936709,0.9525316455696202,0.9493670886075949,1.0,0.9651640402996643,0.9678894342547145,0.9636687829834649,0.02467552337878208,0.022964898710728092
2024-02-01,301,316,0.9525316455696202,,None,0,3,1,0,2,2024,5,1,1,0,0.5680647467311558,0.8229838658936564,0,0,0,0.9396825396825397,0.9428571428571428,0.9810126582278481,0.9012738853503185,0.9633284537443669,0.9671976807600677,0.9616582009728829,0.026202520728522406,0.023699850273615725
2024-02-02,303,316,0.9588607594936709,,None,0,4,1,0,2,2024,5,2,0,0,0.5680647467311558,0.8229838658936564,0,0,0,0.9525316455696202,0.9588607594936709,0.9493670886075949,0.9585987261146497,0.9647105255604351,0.9651633227130514,0.963366792980193,0.025177894388263785,0.02364509405511358
2024-02-05,297,316,0.939873417721519,,None,0,0,1,0,2,2024,6,5,0,0,0.6631226582407952,0.7485107481711011,0,0,0,1.0,0.9430379746835443,0.9588607594936709,1.0,0.9647105255604352,0.9658414420620568,0.9661268501774831,0.025177894388263785,0.023290703983607074
2024-02-06,291,316,0.9208860759493671,,None,0,1,1,0,2,2024,6,6,0,0,0.6631226582407952,0.7485107481711011,0,0,0,0.939873417721519,0.9588607594936709,0.9556962025316456,1.0,0.9642584459944316,0.964485203364046,0.9641226307682004,0.025655766173552256,0.02426107453391542
2024-02-07,300,316,0.9493670886075949,,None,0,2,1,0,2,2024,6,7,0,0,0.6631226582407952,0.7485107481711011,1,0,1,0.9208860759493671,0.9396825396825397,0.9525316455696202,0.9335443037974683,0.9588334912023881,0.9619987657510262,0.9614854999665126,0.03053775409229099,0.02687418085429827
2024-02-08,83,83,1.0,Isra Mikraj Nabi Muhammad SAW,National,1,3,1,0,2,2024,6,8,0,0,0.6631226582407952,0.7485107481711011,1,0,1,0.9493670886075949,0.9525316455696202,0.9428571428571428,0.9525316455696202,0.9602169981916818,0.9617727259680243,0.9620129261268501,0.029734328485362307,0.026973061123478248
2024-02-09,274,316,0.8670886075949367,Cuti Bersama Tahun Baru Imlek 2575 Kongzili,Cuti Bersama,1,4,1,0,2,2024,6,9,0,0,0.6631226582407952,0.7485107481711011,1,1,1,1.0,0.9588607594936709,0.9588607594936709,0.9588607594936709,0.966998191681736,0.9658543586210856,0.9635952046078629,0.032930513293805364,0.028186722715476693
2024-02-12,289,316,0.9145569620253164,,None,0,0,1,0,2,2024,7,12,0,0,0.7485107481711011,0.6631226582407953,0,0,0,1.0,0.939873417721519,0.9430379746835443,1.0,0.9538878842676312,0.9592992049140331,0.9646500569285379,0.050363773854323134,0.0386628125563633
2024-02-13,301,316,0.9525316455696202,,None,0,1,1,0,2,2024,7,13,0,0,0.7485107481711011,0.6631226582407953,1,0,1,0.9145569620253164,0.9208860759493671,0.9588607594936709,1.0,0.9502712477396021,0.9572648468670168,0.9618019556627151,0.052405492801366076,0.04029895024859715
2024-02-15,286,316,0.9050632911392406,,None,0,3,1,0,2,2024,7,15,0,0,0.7485107481711011,0.6631226582407953,0,1,1,0.9525316455696202,0.9493670886075949,0.9396825396825397,0.930379746835443,0.9547920433996383,0.9568127673010132,0.9602196771817025,0.050788075992195134,0.04031516710117116
2024-02-16,295,315,0.9365079365079365,,None,0,4,1,0,2,2024,7,16,0,0,0.7485107481711011,0.6631226582407953,0,0,0,0.9050632911392406,1.0,0.9525316455696202,0.930379746835443,0.9484629294755876,0.9543399638336346,0.9593757953251624,0.054221285585658,0.04245180259474434
2024-02-19,286,316,0.9050632911392406,,None,0,0,1,0,2,2024,8,19,0,0,0.8229838658936564,0.5680647467311559,0,0,0,1.0,1.0,1.0,0.9493670886075949,0.9583799764631591,0.9561339303653951,0.9619007434197309,0.04177797209059231,0.04451627026340286
2024-02-20,295,316,0.9335443037974683,,None,0,1,1,0,2,2024,8,20,0,0,0.8229838658936564,0.5680647467311559,0,0,0,0.9050632911392406,0.9145569620253164,0.939873417721519,1.0,0.9448175894830505,0.9493527368753408,0.9604239501707856,0.041423157578317674,0.04455098381873421
2024-02-21,301,316,0.9525316455696202,,None,0,2,1,0,2,2024,8,21,0,0,0.8229838658936564,0.5680647467311559,0,0,0,0.9335443037974683,0.9525316455696202,0.9208860759493671,1.0,0.9475300668790723,0.9489006573093374,0.9582087602973679,0.03969707496192114,0.04468648037804319
2024-02-22,300,316,0.9493670886075949,,None,0,3,1,0,2,2024,8,22,0,0,0.8229838658936564,0.5680647467311559,0,0,0,0.9525316455696202,0.9050632911392406,0.9493670886075949,0.9588607594936709,0.9475300668790723,0.9511610551393553,0.9566264818163553,0.03969707496192114,0.04395478061124666
2024-02-23,305,316,0.9651898734177216,,None,0,4,1,0,2,2024,8,23,0,0,0.8229838658936564,0.5680647467311559,0,0,0,0.9493670886075949,0.9365079365079365,1.0,0.9556962025316456,0.9538591808031229,0.9511610551393552,0.9563100261201528,0.03505873735329273,0.04395478061124666
