division,mae,rmse,mape,smape,n_train,n_test
Divisi Kapal Niaga,0.0021927921690894077,0.0022639396064146056,1.0,2.0,32,3
Divisi Pemasaran & Penjualan,0.03668585462595161,0.03808512436346348,1.0,2.0,31,3
Divisi Teknologi Informasi,0.001666833350001667,0.002041547666607168,0.6666666666666666,1.3333333333333333,32,3
Sekretaris Perusahaan,0.02459361800884702,0.026004500598143115,1.0,2.0,31,3
